"","Tid","BNP","KRE","RUR","RHI"
"77",1970-02-15,2957.52066301134,18012.7535805177,1861.80069678361,2.07377819759491
"78",1970-05-15,5651.21851204733,18833.500854938,4532.7744551261,1.27509992195393
"79",1970-08-15,1405.87754642549,15706.7716909296,2279.58987886421,1.15187413685311
"80",1970-11-15,-2062.44570942786,14613.566352233,2175.74824558646,3.70248676750812
"81",1971-02-15,1800.08419946045,20108.8155106547,4494.00687025285,1.44643756379431
"82",1971-05-15,2114.49651909348,18802.8463724756,8483.51252095831,-0.155338465157584
"83",1971-08-15,3530.56739990052,21290.8370905183,10380.263658115,0.59265912200554
"84",1971-11-15,1347.2958812967,20762.2474457871,12373.8241442126,3.26096051847941
"85",1972-02-15,3083.57171843099,24153.3572025467,13983.6965955805,7.67523023284325
"86",1972-05-15,5249.65373601205,25356.3586870214,17077.1812524062,9.76321992166712
"87",1972-08-15,7991.75078554448,32690.0993197725,19818.6678527588,8.4404946666769
"88",1972-11-15,6295.9700723642,35426.2711791051,22984.6009997306,10.2808832956505
"89",1973-02-15,8502.86741694504,45003.3426519198,27812.0210897736,13.4172037073881
"90",1973-05-15,8932.79663942366,43565.9819756331,29161.9705090731,12.7600027723981
"91",1973-08-15,7826.00923850083,48734.7871240829,30183.2681888321,14.8133003389471
"92",1973-11-15,7919.8130137307,44080.2406279211,29151.9501563116,13.2007598730055
"93",1974-02-15,4985.04016903212,43502.4856980696,26666.1681465401,9.38816127544068
"94",1974-05-15,5311.35781709509,38166.2247616447,26454.268505578,2.02944025773921
"95",1974-08-15,2234.18940891911,31783.3464067924,23754.4028218387,-0.798600911218472
"96",1974-11-15,1083.47760070444,22585.3188843303,21205.3510423125,1.88117647687905
"97",1975-02-15,1131.90147785822,24352.1590640569,22131.1391773263,7.15711172652941
"98",1975-05-15,1878.77483810439,22998.1329320136,27350.9024347753,8.51314107688031
"99",1975-08-15,1763.66836565904,24663.4750115351,29819.4573404558,10.9134417640391
"100",1975-11-15,7403.45390380988,35677.2866020087,39042.2944239752,11.6129627476022
"101",1976-02-15,8431.45380106023,38433.453353729,37898.2059853172,11.817808848829
"102",1976-05-15,9803.19455559524,33587.983097499,35138.0686362393,8.78190882199342
"103",1976-08-15,4827.77337321156,40383.9942501518,36188.5541341071,8.91619020629633
"104",1976-11-15,4625.09087170115,28969.8077891996,30648.7159639545,8.92667450228951
"105",1977-02-15,4376.75301339837,35250.2193828537,34116.2267551145,8.55202470878072
"106",1977-05-15,4701.72524745251,32735.7506872019,33289.6148470711,11.5983769843682
"107",1977-08-15,6732.88981112563,32686.842969591,31164.728052882,12.6315169268053
"108",1977-11-15,2830.39963575522,18070.723090684,23013.3179962763,12.3474702723912
"109",1978-02-15,2127.99127474081,19840.9055209218,21720.0448277577,14.9992229958699
"110",1978-05-15,4416.4104523519,21226.5698146886,24641.9496481449,17.5845974647239
"111",1978-08-15,5654.86459261848,25832.7710087066,26315.5611147393,18.8114556130235
"112",1978-11-15,3508.37557630541,22102.0812295222,25270.0603603277,16.4427209588071
"113",1979-02-15,5446.93400171132,21966.3701815648,24825.1246279356,18.4761362242752
"114",1979-05-15,5543.13096581183,23487.4531631704,25414.3865796586,20.7945509951225
"115",1979-08-15,1538.91938445829,13747.9787953737,17458.2176720655,16.6420463703482
"116",1979-11-15,1944.61512404498,9533.35030807523,16952.3216662732,13.471006558155
"117",1980-02-15,2035.95627974216,2956.70614351877,12099.8347867996,9.34892737085649
"118",1980-05-15,-1296.26678070998,-745.351110352033,9222.75570442253,3.24855549893553
"119",1980-08-15,-5480.14254162255,-7313.79549709885,4512.26577709534,1.93324097162335
"120",1980-11-15,-5286.88551238087,-9813.6211281485,2464.26228885213,0.106319217734602
"121",1981-02-15,-5160.47026995614,-20686.2616219269,-4586.43365475666,-2.45895318602167
"122",1981-05-15,-7302.48508196087,-27331.9733993503,-11782.2757006238,-9.75585617624627
"123",1981-08-15,-7705.56958460293,-33576.921439564,-17609.2051304252,-14.9073530197593
"124",1981-11-15,-7877.59579097282,-41134.7031341535,-22052.978418813,-15.3562091707032
"125",1982-02-15,-6205.0041388602,-46273.1593741836,-27290.8112077531,-17.2089129410261
"126",1982-05-15,-4992.6552774016,-47970.9898235399,-31125.039179166,-18.3384289028009
