"","Tid","BNP","KRE","RUR","RHI"
"77",1970-02-15,1644.54257995495,3295.62420844601,-504.840946426145,-0.154291440299326
"78",1970-05-15,4022.05545431346,2503.87560177894,708.611288144652,-1.20155538039048
"79",1970-08-15,-545.209183308258,-2250.22154378358,-3063.76992006213,-1.62448959221799
"80",1970-11-15,-4340.66329870517,-4979.63107209875,-4742.69938370472,0.579409696623984
"81",1971-02-15,-809.595656693723,-1121.94076356491,-4047.71532289521,-2.06522173111999
"82",1971-05-15,-827.393472612724,-4056.19306077117,-1718.99687812438,-4.09266570828879
"83",1971-08-15,259.813440122406,-3175.82797474441,-1507.33044047182,-3.80134425582584
"84",1971-11-15,-2244.35943575764,-5277.42176055481,-1208.84141711104,-1.61209211510942
"85",1972-02-15,-816.55945876787,-3408.69257043548,-1288.74842919097,2.31176760966644
"86",1972-05-15,1059.34117502063,-3658.09570043689,136.313986445293,3.91001467228542
"87",1972-08-15,3535.93835492668,2314.75946397163,1247.6412178449,2.10881658499835
"88",1972-11-15,1605.07735999653,3805.45789577782,2838.54101479003,3.49018525498366
"89",1973-02-15,3610.86210232489,12274.9958771489,6162.18669133118,6.19382475132445
"90",1973-05-15,3876.20706023989,9888.27969525837,6094.03692461926,5.13501245123056
"91",1973-08-15,2641.68885899074,14278.5860096394,5793.54510019432,6.81866111220623
"92",1973-11-15,2642.54012725841,9023.00477677773,3543.64583150873,4.86614962668569
"93",1974-02-15,-354.113592427115,8019.48435413838,-54.1560677485677,0.736748692059513
"94",1974-05-15,-63.9436368093754,2425.00313800601,-1270.30307161526,-6.92512352528704
"95",1974-08-15,-3156.63122072809,-4061.17773581668,-4865.33189881825,-10.0526192991
"96",1974-11-15,-4307.28511065166,-13221.6376802528,-8198.29083441505,-7.67422118788915
"97",1975-02-15,-4246.29916385904,-11287.7897947941,-7939.88188167918,-2.70093026341273
"98",1975-05-15,-3474.73776342285,-12348.4780758442,-3260.5209011705,-1.64334957160523
"99",1975-08-15,-3550.75163919187,-10259.4622334932,-1189.92468152442,0.469864812754128
"100",1975-11-15,2146.98604609459,1320.14009235268,7794.97019525647,0.901876914715005
"101",1976-02-15,3258.47626386085,4802.46943527868,6591.34716911472,0.866740239083497
"102",1976-05-15,4744.60077756573,861.052615032759,3963.69974112845,-2.37420241698616
"103",1976-08-15,-82.2034107473996,8753.62157763498,5348.29171152114,-2.40312163953411
"104",1976-11-15,-101.636754541971,-1357.34335814614,351.379141015695,-2.50558822197564
"105",1977-02-15,-131.630916172446,6441.74276365811,4574.58502370314,-2.93300721796341
"106",1977-05-15,447.317014518694,5671.11165101114,4720.24507364727,0.132277787961455
"107",1977-08-15,2768.71994700778,7596.97665945614,3785.24065341685,1.26942715999034
"108",1977-11-15,-806.906333973086,-4811.12586755294,-2960.50999288495,1.18778772317985
"109",1978-02-15,-1147.17603937386,-602.038370088258,-2636.46795796599,4.15290472785648
"110",1978-05-15,1537.81718318407,3454.1139261953,2112.19446781979,7.17444831842928
"111",1978-08-15,3207.16369084183,10963.5071542291,5821.49464318763,8.96957013849224
"112",1978-11-15,1524.81820276369,10367.7287819827,7018.8438856695,7.30604334691387
"113",1979-02-15,3957.71381550094,13590.8762452743,9018.57697778778,10.1809013540167
"114",1979-05-15,4574.43988384442,18680.5679985379,12244.6605188547,13.4717592633355
"115",1979-08-15,1110.48762766154,12696.8164371684,7102.22535486034,10.4111468186991
"116",1979-11-15,2066.86605026177,12390.7719290747,9564.14525948012,8.43152900998124
"117",1980-02-15,2709.31617626247,9833.41891417708,7806.33122449037,5.5740170695179
"118",1980-05-15,-82.6556268933814,10211.4855790242,8117.62147794472,0.779737079699311
"119",1980-08-15,-3750.11007653316,7727.98498359375,6651.18822764781,0.776958073314848
"120",1980-11-15,-3077.18549595845,9255.52607813552,7859.86915094354,0.233455268452154
"121",1981-02-15,-2518.45015761545,2285.43003079803,4031.28003471538,-1.11355573460057
"122",1981-05-15,-4284.17600087025,-655.614030616471,-29.1443441548836,-7.29354149260888
"123",1981-08-15,-4374.12520351177,-3468.30564596203,-2861.98785968318,-11.4649620676086
"124",1981-11-15,-4300.6329664234,-7940.43533867389,-4507.66081932006,-11.101545635164
"125",1982-02-15,-2451.88835085996,-10411.9533829658,-7196.28797844662,-12.3336148957354
"126",1982-05-15,-1131.832427808,-9928.80889053267,-8780.35197682875,-13.0510687344092
"127",1982-08-15,-1141.44147654374,-14614.629740833,-13362.3107666772,-16.6058031108162
"128",1982-11-15,-2940.06498347724,-22315.891801322,-16073.4482449323,-16.8932009491461
"129",1983-02-15,-801.980907053269,-23669.97960321,-15118.4706444601,-11.1388088864415
"130",1983-05-15,-202.73758577606,-20584.0574413098,-13137.1082433203,-2.94068265865759
"131",1983-08-15,-1719.70378502621,-22634.0225316631,-12394.4417615076,-3.59679323497268
"132",1983-11-15,-1179.85244571539,-22872.0869357845,-13604.907622611,-3.7137195949593
"133",1984-02-15,459.159782962439,-23435.314260839,-13955.392397943,-0.477087442727819
"134",1984-05-15,65.3352774165938,-17769.1778815035,-14023.1870136291,-1.08562035266976
"135",1984-08-15,-124.871894305684,-20564.7081007763,-14539.5099690048,-2.16883383562505
"136",1984-11-15,-1020.42796519714,-23701.523696506,-14454.4866962455,-0.540701136131194
"137",1985-02-15,-727.984406753606,-28576.329485345,-14342.5888588794,1.46773252587966
"138",1985-05-15,-622.407669413741,-23790.5060052497,-11859.747874494,3.53452288750065
"139",1985-08-15,1392.61521954303,-21529.2186238213,-5968.11511218216,9.73383781694754
"140",1985-11-15,2942.81908919312,-5495.00785705486,-1562.19826051581,10.602729415744
"141",1986-02-15,5550.26461325565,-1800.19134307079,5028.40692487929,16.8164809595003
"142",1986-05-15,3616.22591712454,1687.92433555873,2113.01146072954,13.2842063304071
"143",1986-08-15,768.973536150406,13098.669056663,6024.80769858196,9.94945851531464
"144",1986-11-15,1475.2362860928,32137.9473053616,7867.25234217311,10.2763692088707
"145",1987-02-15,491.494792088054,29341.5122701663,8341.77085120295,3.21063242110422
"146",1987-05-15,4279.09363613107,27757.6029522015,7962.36424750587,1.84090583330216
"147",1987-08-15,-864.485861485196,26502.6642189767,11327.2281189462,0.850869872727777
"148",1987-11-15,2206.4208659297,38207.014978488,14427.8141089312,-0.721142764096827
"149",1988-02-15,1057.454489254,20803.1289363671,14735.0660351605,0.618054776368382
"150",1988-05-15,841.541759548284,20351.7860023687,13761.4484549867,-0.104250520251825
"151",1988-08-15,-2594.093589439,16173.2203304535,14212.4902849341,2.02211492989871
"152",1988-11-15,-178.282718773181,16217.1980693418,12959.8476423385,2.44882503567452
"153",1989-02-15,1390.10916705267,2241.60735891764,10388.102064028,1.80858074936792
"154",1989-05-15,45.4324802529669,1759.44156161586,6469.69303820943,1.66109718928425
"155",1989-08-15,-3277.62878584946,-3187.75573529147,4490.74838570423,0.392271279954748
"156",1989-11-15,-2211.41828438536,3511.31945528714,415.147498814167,-1.07303835924019
"157",1990-02-15,1443.47668116977,1724.6791307075,3518.47672544163,-3.32436145992819
"158",1990-05-15,1459.15431011877,3626.42504504365,3501.15842513028,-2.50609832985931
"159",1990-08-15,-1342.31840075251,2601.62215147529,4411.3218518452,-4.30120632739812
"160",1990-11-15,-1978.7237487612,11468.4778707142,802.578604142445,-4.77307536573048
"161",1991-02-15,2621.73656561623,4394.38601976435,2687.92947010295,-1.91084670584813
"162",1991-05-15,1136.47733776376,10330.2059631553,3277.97563154443,-0.877821532051737
"163",1991-08-15,62.5871089428699,969.611471962435,808.102322894922,-1.01711925041412
"164",1991-11-15,-2466.96079614068,7941.76032388768,-1794.77911754737,-0.755381344828132
"165",1992-02-15,2443.75956552493,4370.44198828087,-2541.43400260998,-0.643458456368418
"166",1992-05-15,-939.143849735359,4052.49435997499,-4538.12122561163,-1.19139911825221
"167",1992-08-15,-268.799228415696,2278.57332829545,-5288.24056409818,-2.76154532627628
"168",1992-11-15,208.029940252925,953.893077881844,-6082.92683314264,-5.15907891322516
"169",1993-02-15,-1438.00919980608,-2259.27166813735,-5183.36564305371,-5.9468679285565
"170",1993-05-15,-3528.23997154495,-3292.26423161958,-5648.4206035484,-7.30262186465538
"171",1993-08-15,-3748.89341793826,104.152170169255,-4356.38829547722,-4.70915273010206
"172",1993-11-15,-2314.91492267995,412.798104544345,2957.25551548114,-1.56892149940475
"173",1994-02-15,-684.785631663823,4916.76660310723,10041.3621071605,2.47288542134441
"174",1994-05-15,1539.83594235622,951.227851365729,5502.34536078169,0.757359653212863
"175",1994-08-15,-1293.13146866799,-9926.00995842322,-1664.61319542309,-1.94710473091639
